date,new_deaths_sum,total_cases_sum,IFR
2020-04-02,4907,944928,.00519298824884012
2020-04-03,4956,1021670,.00485088140006068
2020-04-04,6631,1102618,.00601386881041303
2020-04-05,6145,1187455,.00517493294482738
2020-04-06,4675,1256545,.00372051936062775
2020-04-07,5266,1328880,.00396273553669255
2020-04-08,7663,1403870,.0054584826230349
2020-04-09,6436,1488349,.00432425459351268
2020-04-10,7445,1574154,.00472952455731777
2020-04-11,7221,1663474,.00434091545765068
2020-04-12,6026,1744244,.00345479187544862
2020-04-13,5266,1815498,.00290058154842363
2020-04-14,5371,1881515,.00285461449948579
2020-04-15,7604,1958117,.00388332260023277
2020-04-16,10520,2037865,.00516226541012285
2020-04-17,8709,2120827,.00410641697790532
2020-04-18,8568,2202721,.00388973456011905
2020-04-19,6083,2089210,.00291162688288875
2020-04-20,5036,2354605,.00213878760981141
2020-04-21,5336,2430565,.00219537432654547
2020-04-22,7284,2516295,.00289473213593796
2020-04-23,6103,2582583,.00236313799014398
2020-04-24,7444,2660017,.00279847835558946
2020-04-25,5432,2733782,.00198699091588137
2020-04-26,6246,2834330,.00220369540596896
2020-04-27,3928,2917386,.00134641079377223
2020-04-28,4890,2983168,.00163919698790011
2020-04-29,6515,3053389,.00213369472412457
2020-04-30,6671,3132539,.00212958242499136
2020-05-01,5534,3217125,.00172016940591367
2020-05-02,5840,3308867,.00176495459019658
2020-05-03,4749,3364846,.00141135731026026
2020-05-04,3686,3468545,.00106269343485525
2020-05-05,3999,3545711,.00112784149638817
2020-05-06,5949,3624895,.00164115098506302
2020-05-07,6337,3685299,.00171953483285888
2020-05-08,5746,3808904,.00150857044441131
2020-05-09,5216,3870228,.00134772421676449
2020-05-10,4440,3989201,.00111300483480276
2020-05-11,3410,4065562,.000838752428323563
2020-05-12,3552,4107711,.000864715166183794
2020-05-13,5776,4223007,.00136774577925161
2020-05-14,5187,4308957,.00120377158556003
2020-05-15,5370,4405622,.00121889712735228
2020-05-16,5171,4503655,.00114817853498991
2020-05-17,4268,4597851,.000928259745694238
2020-05-18,2973,4679068,.000635382943782822
2020-05-19,3262,4766204,.00068440209441308
2020-05-20,5228,4861149,.00107546590322576
2020-05-21,4438,4712204,.0009418098197786
2020-05-22,5442,5068566,.00107367645996915
2020-05-23,4690,5175140,.000906255676174944
2020-05-24,3989,5276246,.000756029950081933
2020-05-25,2734,5135062,.000532418109070543
2020-05-26,3383,5459558,.000619647231515811
2020-05-27,3936,5555428,.000708496267074292
2020-05-28,5177,5658011,.000914985849267525
2020-05-29,4701,5776816,.000813770076803554
2020-05-30,4804,5899834,.000814260197829295
2020-05-31,4051,6027630,.000672071776137553
